country,city,hotel_name,hotel_address
France,Paris,InterContinental Paris Le Grand,2 Rue Scribe 9th arr 75009 Paris France
France,Paris,K K H tel Cayr Saint Germain des Pr s,4 Boulevard Raspail 7th arr 75007 Paris France
France,Paris,L H tel,13 rue des Beaux Arts 6th arr 75006 Paris France
France,Paris,L Hotel Pergol se Paris,3 Rue Pergolese 16th arr 75116 Paris France
France,Paris,La Clef Tour Eiffel,83 avenue Kl ber 16th arr 75016 Paris France
France,Paris,La Maison Favart,5 Rue Marivaux 2nd arr 75002 Paris France
France,Paris,La Tremoille Paris,14 rue de la Tremoille 8th arr 75008 Paris France
France,Paris,La Villa Maillot,143 Avenue De Malakoff 16th arr 75016 Paris France
France,Paris,La Villa Royale,2 Rue Duperr 9th arr 75009 Paris France
France,Paris,La Villa des Ternes,97 avenue des Ternes 17th arr 75017 Paris France
France,Paris,Le 123 Elysees Astotel,123 Rue Du Faubourg Saint Honor 8th arr 75008 Paris France
France,Paris,Le 7 Eiffel Hotel,17 bis rue Am lie 7th arr 75007 Paris France
France,Paris,Le Burgundy Paris,6 8 Rue Duphot 1st arr 75001 Paris France
France,Paris,Le Cinq Codet,5 rue Louis Codet 7th arr 75007 Paris France
France,Paris,Le Dokhan s a Tribute Portfolio Hotel,117 Rue Lauriston 16th arr 75116 Paris France
France,Paris,Le Grand H tel de Normandie,4 rue Amsterdam 9th arr 75009 Paris France
France,Paris,Le Grey Hotel,12 rue de Parme 9th arr 75009 Paris France
France,Paris,Le M ridien Etoile,81 boulevard Gouvion Saint Cyr 17th arr 75017 Paris France
France,Paris,Le Marceau Bastille,13 Rue Jules Cesar 12th arr 75012 Paris France
France,Paris,Le Marquis Eiffel,15 Rue Dupleix 15th arr 75015 Paris France
France,Paris,Le Metropolitan a Tribute Portfolio Hotel,10 Place De Mexico 16th arr 75016 Paris France
France,Paris,Le Narcisse Blanc Spa,19 Boulevard De La Tour Maubourg 7th arr 75007 Paris France
France,Paris,Le Parisis Paris Tour Eiffel,102 Bd De Grenelle 15th arr 75015 Paris France
France,Paris,Le Pavillon de la Reine Spa,28 place des Vosges 3rd arr 75003 Paris France
France,Paris,Le Roch Hotel Spa,28 rue Saint Roch 1st arr 75001 Paris France
France,Paris,Le Senat,10 rue de Vaugirard 6th arr 75006 Paris France
France,Paris,Le Tourville Eiffel,16 avenue de Tourville 7th arr 75007 Paris France
France,Paris,Legend Saint Germain by Elegancia,151 bis Rue de Rennes 6th arr 75006 Paris France
France,Paris,Les Jardins Du Marais,74 rue Amelot 11th arr 75011 Paris France
France,Paris,Les Matins de Paris Spa,3 rue Clauzel 9th arr 75009 Paris France
France,Paris,Les Plumes Hotel,10 rue Lamartine 9th arr 75009 Paris France
